type,name,file,line,citation,source,priority,classification,evidence,notes,suggested_action
symbol,addCareInstruction,lib/core/models/growth_cycle.dart,75,12†lib\core\models\growth_cycle.dart:75,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,isCurrentPhase,lib/core/models/growth_cycle.dart,95,12†lib\core\models\growth_cycle.dart:95,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,hasStarted,lib/core/models/growth_cycle.dart,99,12†lib\core\models\growth_cycle.dart:99,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,hasEnded,lib/core/models/growth_cycle.dart,103,12†lib\core\models\growth_cycle.dart:103,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,daysRemaining,lib/core/models/growth_cycle.dart,107,12†lib\core\models\growth_cycle.dart:107,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,daysSinceStart,lib/core/models/growth_cycle.dart,112,12†lib\core\models\growth_cycle.dart:112,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,progressPercentage,lib/core/models/growth_cycle.dart,117,12†lib\core\models\growth_cycle.dart:117,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,updateStatus,lib/core/models/planting.dart,148,12†lib\core\models\planting.dart:148,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,expectedDays,lib/core/models/planting.dart,204,12†lib\core\models\planting.dart:204,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,CurrentIntelligenceGardenIdNotifier,lib/core/providers/intelligence_runtime_providers.dart,13,12†lib\core\providers\intelligence_runtime_providers.dart:13,unused_symbols,high,needs_manual,"[{""kind"": ""barrel_export"", ""file"": ""lib/core/providers/providers.dart"", ""line"": ""2"", ""snippet"": ""export 'intelligence_runtime_providers.dart';""}]",export missing; exported_via_barrel(1),add_export
symbol,IntelligentAlertsNotifier,lib/core/providers/intelligence_runtime_providers.dart,28,12†lib\core\providers\intelligence_runtime_providers.dart:28,unused_symbols,high,needs_manual,"[{""kind"": ""barrel_export"", ""file"": ""lib/core/providers/providers.dart"", ""line"": ""2"", ""snippet"": ""export 'intelligence_runtime_providers.dart';""}]",export missing; exported_via_barrel(1),add_export
symbol,ContextualRecommendationsNotifier,lib/core/providers/intelligence_runtime_providers.dart,56,12†lib\core\providers\intelligence_runtime_providers.dart:56,unused_symbols,high,needs_manual,"[{""kind"": ""barrel_export"", ""file"": ""lib/core/providers/providers.dart"", ""line"": ""2"", ""snippet"": ""export 'intelligence_runtime_providers.dart';""}]",export missing; exported_via_barrel(1),add_export
symbol,RealTimeAnalysisState,lib/core/providers/intelligence_runtime_providers.dart,81,12†lib\core\providers\intelligence_runtime_providers.dart:81,unused_symbols,high,needs_manual,"[{""kind"": ""barrel_export"", ""file"": ""lib/core/providers/providers.dart"", ""line"": ""2"", ""snippet"": ""export 'intelligence_runtime_providers.dart';""}]",export missing; exported_via_barrel(1),add_export
symbol,RealTimeAnalysisNotifier,lib/core/providers/intelligence_runtime_providers.dart,90,12†lib\core\providers\intelligence_runtime_providers.dart:90,unused_symbols,high,needs_manual,"[{""kind"": ""barrel_export"", ""file"": ""lib/core/providers/providers.dart"", ""line"": ""2"", ""snippet"": ""export 'intelligence_runtime_providers.dart';""}]",export missing; exported_via_barrel(1),add_export
symbol,GardenHelpers,lib/core/repositories/garden_helpers.dart,6,12†lib\core\repositories\garden_helpers.dart:6,unused_symbols,high,needs_manual,"[{""kind"": ""barrel_export"", ""file"": ""lib/core/repositories/index.dart"", ""line"": ""4"", ""snippet"": ""export 'garden_helpers.dart';""}]",export missing; exported_via_barrel(1),add_export
symbol,gardensWithDensity,lib/core/repositories/garden_helpers.dart,198,12†lib\core\repositories\garden_helpers.dart:198,unused_symbols,high,needs_manual,"[{""kind"": ""barrel_export"", ""file"": ""lib/core/repositories/index.dart"", ""line"": ""4"", ""snippet"": ""export 'garden_helpers.dart';""}]",export missing; exported_via_barrel(1),add_export
symbol,totalBedArea,lib/core/repositories/garden_helpers.dart,225,12†lib\core\repositories\garden_helpers.dart:225,unused_symbols,high,needs_manual,"[{""kind"": ""barrel_export"", ""file"": ""lib/core/repositories/index.dart"", ""line"": ""4"", ""snippet"": ""export 'garden_helpers.dart';""}]",export missing; exported_via_barrel(1),add_export
symbol,GardenStatistics,lib/core/repositories/garden_helpers.dart,253,12†lib\core\repositories\garden_helpers.dart:253,unused_symbols,high,needs_manual,"[{""kind"": ""barrel_export"", ""file"": ""lib/core/repositories/index.dart"", ""line"": ""4"", ""snippet"": ""export 'garden_helpers.dart';""}]",export missing; exported_via_barrel(1),add_export
symbol,GardenHiveException,lib/core/repositories/garden_hive_repository.dart,207,12†lib\core\repositories\garden_hive_repository.dart:207,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,GardenRepository,lib/core/repositories/garden_repository.dart,8,12†lib\core\repositories\garden_repository.dart:8,unused_symbols,high,needs_manual,"[{""kind"": ""barrel_export"", ""file"": ""lib/core/repositories/index.dart"", ""line"": ""2"", ""snippet"": ""export 'garden_repository.dart';""}, {""kind"": ""occurrence"", ""file"": ""lib/core/di/garden_module.dart"", ""line"": ""210"", ""snippet"": ""GardenHiveRepository get gardenRepository =>""}, {""kind"": ""occurrence"", ""file"": ""lib/core/di/intelligence_module.dart"", ""line"": ""363"", ""snippet"": ""gardenRepository: ref.read(gardenContextRepositoryProvider),""}, {""kind"": ""occurrence"", ""file"": ""lib/core/services/aggregation/modern_data_adapter.dart"", ""line"": ""34"", ""snippet"": ""GardenHiveRepository? gardenRepository,""}]",export missing; dynamic_usage_detected; exported_via_barrel(1),manual_review
symbol,getGardens,lib/core/repositories/garden_repository.dart,13,12†lib\core\repositories\garden_repository.dart:13,unused_symbols,high,needs_manual,"[{""kind"": ""barrel_export"", ""file"": ""lib/core/repositories/index.dart"", ""line"": ""2"", ""snippet"": ""export 'garden_repository.dart';""}]",export missing; exported_via_barrel(1),add_export
symbol,countValidation,lib/core/repositories/garden_repository.dart,53,12†lib\core\repositories\garden_repository.dart:53,unused_symbols,high,needs_manual,"[{""kind"": ""barrel_export"", ""file"": ""lib/core/repositories/index.dart"", ""line"": ""2"", ""snippet"": ""export 'garden_repository.dart';""}]",export missing; exported_via_barrel(1),add_export
symbol,getActiveGardens,lib/core/repositories/garden_repository.dart,136,12†lib\core\repositories\garden_repository.dart:136,unused_symbols,high,needs_manual,"[{""kind"": ""barrel_export"", ""file"": ""lib/core/repositories/index.dart"", ""line"": ""2"", ""snippet"": ""export 'garden_repository.dart';""}]",export missing; exported_via_barrel(1),add_export
symbol,getGardenCount,lib/core/repositories/garden_repository.dart,141,12†lib\core\repositories\garden_repository.dart:141,unused_symbols,high,needs_manual,"[{""kind"": ""barrel_export"", ""file"": ""lib/core/repositories/index.dart"", ""line"": ""2"", ""snippet"": ""export 'garden_repository.dart';""}]",export missing; exported_via_barrel(1),add_export
symbol,getActiveGardenCount,lib/core/repositories/garden_repository.dart,146,12†lib\core\repositories\garden_repository.dart:146,unused_symbols,high,needs_manual,"[{""kind"": ""barrel_export"", ""file"": ""lib/core/repositories/index.dart"", ""line"": ""2"", ""snippet"": ""export 'garden_repository.dart';""}]",export missing; exported_via_barrel(1),add_export
symbol,searchGardens,lib/core/repositories/garden_repository.dart,157,12†lib\core\repositories\garden_repository.dart:157,unused_symbols,high,needs_manual,"[{""kind"": ""barrel_export"", ""file"": ""lib/core/repositories/index.dart"", ""line"": ""2"", ""snippet"": ""export 'garden_repository.dart';""}]",export missing; exported_via_barrel(1),add_export
symbol,GardenRepositoryException,lib/core/repositories/garden_repository.dart,170,12†lib\core\repositories\garden_repository.dart:170,unused_symbols,high,needs_manual,"[{""kind"": ""barrel_export"", ""file"": ""lib/core/repositories/index.dart"", ""line"": ""2"", ""snippet"": ""export 'garden_repository.dart';""}]",export missing; exported_via_barrel(1),add_export
symbol,GardenRepositoryErrorType,lib/core/repositories/garden_repository.dart,179,12†lib\core\repositories\garden_repository.dart:179,unused_symbols,high,needs_manual,"[{""kind"": ""barrel_export"", ""file"": ""lib/core/repositories/index.dart"", ""line"": ""2"", ""snippet"": ""export 'garden_repository.dart';""}]",export missing; exported_via_barrel(1),add_export
symbol,GardenValidationException,lib/core/repositories/garden_repository.dart,181,12†lib\core\repositories\garden_repository.dart:181,unused_symbols,high,needs_manual,"[{""kind"": ""barrel_export"", ""file"": ""lib/core/repositories/index.dart"", ""line"": ""2"", ""snippet"": ""export 'garden_repository.dart';""}]",export missing; exported_via_barrel(1),add_export
