File,Key,Action,Value Preview,ICU Warning
intl_en.arb,@planting_stat_in_growth,Added,"OrderedDict([('description', 'Label statistiques :",
intl_en.arb,@planting_stat_ready_for_harvest,Added,"OrderedDict([('description', 'Label statistiques :",
intl_en.arb,@planting_empty_none,Added,"OrderedDict([('description', ""Titre pour l'état vi",
intl_en.arb,@planting_empty_first,Added,"OrderedDict([('description', ""Texte incitatif si a",
intl_en.arb,@planting_create_action,Added,"OrderedDict([('description', 'Texte du bouton pour",
intl_en.arb,@planting_empty_no_result,Added,"OrderedDict([('description', ""Titre pour l'état 'a",
intl_en.arb,@planting_clear_filters,Added,"OrderedDict([('description', 'Action pour effacer ",
intl_en.arb,@planting_add_tooltip,Added,"OrderedDict([('description', 'Tooltip du FAB pour ",
intl_en.arb,@search_hint,Added,"OrderedDict([('description', 'Hint générique pour ",
intl_en.arb,@error_page_title,Added,"OrderedDict([('description', ""Titre pour la page d",
intl_en.arb,@error_page_message,Added,"OrderedDict([('description', ""Message expliquant q",
intl_en.arb,@error_page_back,Added,"OrderedDict([('description', ""Bouton pour revenir ",
intl_en.arb,@dialog_confirm,Added,"OrderedDict([('description', 'Texte du bouton Conf",
intl_en.arb,@dialog_cancel,Added,"OrderedDict([('description', 'Texte du bouton Annu",
intl_en.arb,@snackbar_commune_selected,Added,"OrderedDict([('description', 'SnackBar indiquant l",
intl_en.arb,@common_validate,Added,"OrderedDict([('description', 'Texte générique Vali",
intl_en.arb,@common_cancel,Added,"OrderedDict([('description', 'Texte générique Annu",
intl_en.arb,@common_save,Added,"OrderedDict([('description', 'Texte générique Enre",
intl_en.arb,@empty_action_create,Added,"OrderedDict([('description', 'Action générique pou",
intl_en.arb,@user_guide_text,Added,"OrderedDict([('description', ""Texte complet du gui",
intl_en.arb,@privacy_policy_text,Added,"OrderedDict([('description', 'Texte complet de la ",
intl_en.arb,@terms_text,Added,"OrderedDict([('description', ""Texte complet des co",
intl_en.arb,@calibration_auto_apply,Added,"OrderedDict([('description', 'Switch pour applique",
intl_en.arb,@calibration_calibrate_now,Added,"OrderedDict([('description', 'Bouton pour lancer l",
